What is the scattering of a photon by a charged particle, usually an electron?	Compton scattering, discovered by Arthur Holly Compton,	WAS
What is Compton scattering, discovered by Arthur Holly Compton, the?	scattering of a photon by a charged particle, usually an electron	WAD
What is transferred to the recoiling electron?	part of the energy of the photon	WAS
To what is part of the energy of the photon transferred?	to the recoiling electron	WAI
What occurs when a charged particle transfers part of its energy to a photon?	Inverse Compton scattering	WAS
Where is QFT used to construct physical models of subatomic particles and in condensed matter physics to construct models of quasiparticle?	in particle physics	WHE
What does QFT treat as excited states of their underlying quantum fields, which are more fundamental than the particles?	particles	WAD
As what does QFT treat particles?	as excited states of their underlying quantum fields, which are more fundamental than the particles	WAI
What is described by interaction terms in the Lagrangian involving their corresponding quantum fields?	interactions between particles	WAS
By what are interactions between particles described?	by interaction terms in the Lagrangian involving their corresponding quantum fields	WAI
What visually can be represented by Feynman diagrams according to perturbation theory in quantum mechanic?	each interaction	WAS
What can each interaction visually be represented by Feynman diagrams?	according to perturbation theory in quantum mechanic	WAD
By what can each interaction visually be represented according to perturbation theory in quantum mechanic?	by Feynman diagrams	WAI
What is the result of disturbances in the magnetosphere caused by solar wind?	auroras	WAS
What are auroras the?	result of disturbances in the magnetosphere caused by solar wind	WAD
What does the resulting ionization of atmospheric constituents and excitation emit?	light of varying color and complexity	WAD
What is also dependent on the amount of acceleration imparted to the precipitating particles?	the form of the aurora, occurring within bands around both polar regions,	WAS
What is the form of the aurora, occurring within bands around both polar regions, also?	dependent on the amount of acceleration imparted to the precipitating particles	WAD
What generally produces optical emissions as incident hydrogen atoms after gaining electrons from the atmosphere?	precipitating protons	WAS
What do precipitating protons generally produce after gaining electrons from the atmosphere?	optical emissions as incident hydrogen atoms	WAD
What usually is observed at lower latitudes?	proton auroras	WAS
At what is proton auroras usually observed?	at lower latitudes	WAI
What also hosts auroras?	most most of the planets in our solar system, some natural satellites, brown dwarfs, and even comets	WAS
What does most most of the planets in our solar system, some natural satellites, brown dwarfs, and even comets also host?	auroras	WAD
What tends to is chemically inert?	an atom with a closed shell of valence electrons	WAS
What is highly reactive due to the relatively low energy to remove the extra valence electrons to form a positive ion?	atoms with one or two valence electrons more more than a closed shell	WAS
What are atoms with one or two valence electrons more more than a closed shell highly?	reactive due to the relatively low energy to remove the extra valence electrons to form a positive ion	WAD
What is reactive due to its tendency either to gain the missing valence electrons and form a negative ion, or else to share valence electrons and form a covalent bond?	an atom with one or two electrons less than a closed shell	WAS
What is an atom with one or two electrons less than a closed shell?	reactive due to its tendency either to gain the missing valence electrons and form a negative ion, or else to share valence electrons and form a covalent bond	WAD
What a valence electron has the ability to absorb or release energy in the form of a photon?	similar to a core electron,	WAS
What has similar to a core electron, a valence electron?	the ability to absorb or release energy in the form of a photon	WAD
What generally depends on the interplay between experimental studies and theory?	the advancement of science	WAS
On what does the advancement of science generally depend?	on the interplay between experimental studies and theory	WAI
What in some cases, adheres to standards of mathematical rigour while giving little weight to experiments and observations?	theoretical physics	WAS
To what does in some cases, theoretical physics adhere while giving little weight to experiments and observations?	to standards of mathematical rigour	WAI
What was conversely, Einstein awarded for explaining the photoelectric effect, previously an experimental result lacking a theoretical formulation?	the Nobel Prize	WAD
What occurs in domains such as numerical analysis, sampling, combinatoric, machine learning, datum mining and database?	dimensionally cursed phenomena	WAS
Where do dimensionally cursed phenomena occur?	in domains such as numerical analysis, sampling, combinatoric, machine learning, datum mining and database	WHE
What in order to obtain a statistically sound and reliable result, often grows exponentially with the dimensionality?	the amount of data needed to support the result	WAS
With what does in order to obtain a statistically sound and reliable result, the amount of data needed to support the result often grow exponentially?	with the dimensionality	WAI
What is a type of elementary particle?	the photon	WAS
What is the photon a?	type of elementary particle	WAD
What is massless, so they always move at the speed of light in vacuum, 299792458 m/?	photons	WAS
What are photons?	massless, so they always move at the speed of light in vacuum, 299792458 m/	WAD
What belongs to the class of boson?	the photon	WAS
To what does the photon belong?	to the class of boson	WAI
What originated during the first two decades of the 20th century with the work of Albert, who built upon the research of Max Planck Einstein?	the modern photon concept	WAS
Where did the modern photon concept originate during the first two decades of the 20th century with the work of Albert, who built upon the research of Max Planck Einstein?	during the first two decades of the 20th century	WHE
As what is in the Standard Model of particle physics, photons and other elementary particles described?	as a necessary consequence of physical laws having a certain symmetry at every point in spacetime	WAI
What recently, has been studied as elements of quantum computers, and for applications in optical imaging such as quantum cryptography and optical communication?	photons	WAS
What is named after James, who is credited with their discovery Van Allen?	the belts	WAS
Where are the belts named after James, who is credited with their discovery Van Allen?	after James, who is credited with their discovery	WHE
What traps energetic electrons and protons?	the belts	WAS
What is less prevalent?	other nuclei, such as alpha particles,	WAS
What is a recurring concept in science fiction, particularly in the context of spacecraft propulsion?	anti-gravity	WAS
What is anti-gravity a recurring?	concept in science fiction, particularly in the context of spacecraft propulsion	WAD
What is human height or stature the?	distance from the bottom of the feet to the top of the head in a human body, standing erect	WAD
What in the early phase of anthropometric research history, often concerned genetic differences?	questions about height techniques for measuring nutritional status	WAS
What did in the early phase of anthropometric research history, questions about height techniques for measuring nutritional status often concern?	genetic differences	WAD
What is also more likely to have lower blood pressure and are less likely to acquire cancer?	individuals of small stature	WAS
What decreases the risk of venous insufficiency?	short stature	WAS
What does short stature decrease?	the risk of venous insufficiency	WAD
What when populations share genetic background and environmental factors, is frequently characteristic within the group?	average height	WAS
What is when populations share genetic background and environmental factors, average height frequently?	characteristic within the group	WAD
What is sometimes due to gigantism, which are medical conditions caused by specific genes or endocrine abnormalities or dwarfism?	exceptional height variation within such a population	WAS
What can serve as an indicator of two key welfare components, namely nutritional quality and health?	the development of human height	WAS
As what can the development of human height serve?	as an indicator of two key welfare components, namely nutritional quality and health	WAI
What is a sexually dimorphic trait in humans?	height	WAS
What is height a trait in humans?	sexually dimorphic	WAD
What was the development of statistical mechanic, and the statistical explanation of the second law of thermodynamic?	his greatest achievements	WAS
What did Max Planck name?	the constant kb the Boltzmann constant	WAD
What is one of the pillars of modern physics?	statistical mechanic	WAS
What is statistical mechanic?	one of the pillars of modern physics	WAD
What was named after the German physicist Georg Ohm, who, in a treatise published in 1827, described measurements of applied voltage through simple electrical circuits containing various lengths of wire and current?	the law	WAS
Where was the law named after the German physicist Georg Ohm, who, in a treatise published in 1827, described measurements of applied voltage through simple electrical circuits containing various lengths of wire and current?	after the German physicist Georg Ohm, who, in a treatise published in 1827, described measurements of applied voltage through simple electrical circuits containing various lengths of wire and current	WHE
What did Ohm explain by a slightly more complex equation than the modern form above?	his experimental results	WAD
By what did Ohm explain his experimental results?	by a slightly more complex equation than the modern form above	WAI
What in non-Newtonian fluids, can change when under force to either more liquid or more solid?	viscosity	WAS
What can in non-Newtonian fluids, viscosity change?	when under force to either more liquid or more solid	WAD
what, for example, becomes runnier when shaken?	ketchup	WAS
What is the oscillation rate of an alternating electric current, voltage or of a magnetic, electric or electromagnetic field in the frequency range from around 20 khz to around 300 GHz or mechanical system?	Radio frequency	WAS
What is Radio frequency the rate of an alternating electric current, voltage or of a magnetic, electric or electromagnetic field in the frequency range from around 20 khz to around 300 GHz or mechanical system?	oscillation	WAD
what specifies different upper and lower bounds for t of the vote?	different sources	WAS
What was Merkel?	able to form a coalition government with the free Democratic Party	WAD
What did at the 2017 federal election, Merkel lead to become t and water?	the CDU	WAD
What can form in standing water or in upward flowing water?	quicksand	WAS
what in the case of upward flowing water, opposes the force of gravity?	forces	WAS
What may appear quite solid until a sue he was still a graduate student?	the saturated sediment	WAS
What may the saturated sediment appear?	quite solid until a sue he was still a graduate student	WAD
What was he 19?	years of age when he joined the Indian Finance Service in Calcutta as Assistant Accountant General	WAD
